student_id,fall_score,fall_strength,fall_weakness,fall_grade_level_score_range,winter_score,winter_strength,winter_weakness,winter_grade_level_score_range,spring_score,spring_strength,spring_weakness,spring_grade_level_score_range
1,68,Phonics,Comprehension,"65–75",74,Vocabulary,Fluency,"70–80",82,Comprehension,Inference,"75–85"
2,72,Fluency,Vocabulary,"70–80",78,Comprehension,Phonics,"75–85",86,Vocabulary,Inference,"80–90"
3,80,Comprehension,Fluency,"75–85",85,Vocabulary,Inference,"80–90",91,Fluency,Phonics,"85–95"
4,63,Phonics,Vocabulary,"60–70",70,Fluency,Comprehension,"65–75",78,Vocabulary,Inference,"70–80"
5,75,Vocabulary,Phonics,"70–80",81,Comprehension,Inference,"75–85",88,Fluency,Comprehension,"80–90"
6,66,Fluency,Comprehension,"65–75",72,Phonics,Vocabulary,"70–80",80,Inference,Fluency,"75–85"
7,83,Comprehension,Phonics,"80–90",88,Vocabulary,Fluency,"85–95",94,Fluency,Inference,"90–100"
8,70,Vocabulary,Inference,"70–80",76,Comprehension,Phonics,"75–85",84,Phonics,Fluency,"80–90"
9,62,Phonics,Comprehension,"60–70",68,Vocabulary,Inference,"65–75",77,Fluency,Phonics,"70–80"
10,74,Fluency,Vocabulary,"70–80",80,Comprehension,Inference,"75–85",87,Vocabulary,Phonics,"80–90"
11,79,Comprehension,Fluency,"75–85",84,Vocabulary,Phonics,"80–90",90,Fluency,Inference,"85–95"
12,65,Phonics,Vocabulary,"60–70",71,Fluency,Comprehension,"65–75",79,Vocabulary,Inference,"70–80"
13,76,Vocabulary,Phonics,"70–80",82,Comprehension,Inference,"75–85",89,Fluency,Comprehension,"80–90"
14,61,Phonics,Comprehension,"60–70",67,Vocabulary,Fluency,"65–75",75,Comprehension,Inference,"70–80"
15,82,Comprehension,Vocabulary,"80–90",87,Fluency,Phonics,"85–95",93,Vocabulary,Inference,"90–100"
16,73,Vocabulary,Fluency,"70–80",79,Comprehension,Inference,"75–85",86,Phonics,Comprehension,"80–90"
17,64,Phonics,Vocabulary,"60–70",70,Fluency,Comprehension,"65–75",78,Vocabulary,Inference,"70–80"
18,77,Fluency,Comprehension,"75–85",83,Phonics,Vocabulary,"80–90",90,Inference,Fluency,"85–95"
19,85,Comprehension,Phonics,"80–90",89,Vocabulary,Fluency,"85–95",95,Fluency,Inference,"90–100"
20,69,Vocabulary,Inference,"65–75",75,Comprehension,Phonics,"70–80",83,Phonics,Fluency,"75–85"
21,66,Phonics,Comprehension,"65–75",72,Vocabulary,Inference,"70–80",80,Fluency,Phonics,"75–85"
22,71,Fluency,Vocabulary,"70–80",77,Comprehension,Phonics,"75–85",85,Vocabulary,Inference,"80–90"
23,78,Comprehension,Fluency,"75–85",84,Vocabulary,Inference,"80–90",91,Fluency,Phonics,"85–95"
24,63,Phonics,Vocabulary,"60–70",69,Fluency,Comprehension,"65–75",77,Vocabulary,Inference,"70–80"
25,74,Vocabulary,Phonics,"70–80",80,Comprehension,Inference,"75–85",87,Fluency,Comprehension,"80–90"
26,68,Fluency,Comprehension,"65–75",74,Phonics,Vocabulary,"70–80",82,Inference,Fluency,"75–85"
27,83,Comprehension,Phonics,"80–90",88,Vocabulary,Fluency,"85–95",94,Fluency,Inference,"90–100"
28,76,Vocabulary,Inference,"70–80",82,Comprehension,Phonics,"75–85",90,Phonics,Fluency,"80–90"
